	address	akadaly	allapot	berleti_jog_atadas	busz	butorozott	city	city_latitude	city_longitude	contract	district	dohanyzas	ejszakai-busz	energia	epites_eve	futes	futes_elso	futes_masodik	id	kilatas	kisallat	koltozheto	komfort	kondi	metro	min_berl_honapban	parkolas	parkolas_konstrukcio	parkolohely_ar	parkolohely_berles	pince	price_ft	real_estate_type	rezsi_ft	room	room_full	room_half	size_m2	stemmed_text	szintek	telek_m2	tetoter	text	troli	type	villamos	wc
586	Óváros		újszerű	nem			Tata	47.6500863	18.3181275	kiado						gáz (cirko)	gáz (cirko)		https://ingatlan.com/tata-ovaros/kiado+haz/csaladi-haz/komarom-esztergom+megye+tata/25800848	panorámás			duplakomfortos				teremgarázs hely	benne van az árban			van	320000	haz	0	5	5	0	152	a tatabányai openhouse ingatlaniroda kínálat kiadó a 117942 es referencia számú tata óváros frekventált városrész található fullosan felújított kétszintes családi ház mélygarázzsal tágas világos nappali négy háló kellemes terasz és rendezett kis parkosított kert az kiadó családi ház jellemzői 1992 ben épült hagyományos technológia tégla összesen 232 nm en mely a lakótér 152 nm idén teljeskörűen felújít minőségi alapanyag felhasználás az épület új víz villany fűtésrendszer korszerű kondenzációs gázkazán minden helyiség radiátoros hőleadókkal új burkolat laminált padló és magasfényű járólap burkolat ízléses modern új fürdőszoba a földszint és az emelet is zuhanykabinnal kialakít az egész épület alatt húzódó 80 nm es alagsor található a garázs szabadidős helyiség tároló és a kazánház a földszint tágas világos nappali egy háló konyha spájz wc és fürdő míg az emeleti szint három háló fürdőszoba és gardrób található kiváló minőségű új fa beltéri és kültéri nyílászáró műanyag három rétegű üvegezés redőny ellát meghitt 12 m2 es terasz minden szint nagy erkély rendelkezik elvehetetlen panoráma az emelet az öreg tóra a kiadó családi ház napfényes otthonos tér rendelkezik d i fekvés köszönhetően elektromos garázs és kapu elektromos kaputelefon szolgál a kényelem kényelme riasztórendszer ellát 524 m2 es udvar viacolorral burkolt itt minden extra rendelkezés áll ami kényelem kényelme szolgálhat csak költözik kell a kép önmaguk beszél előzetes egyeztetés alap én tekinthet meg a kiadó családi ház amennyiben a 117942 es referencia számú kiadó családi ház tata vagy bármely a kínálat található családi ház felkeltet felkelt érdeklődés kérem hív bízik bíz profi ingatlanügy figyelem csak mi nem csak ingatlanvásárlás eset iroda bank semleges hitelajánlatokkal és ingyenes hitelügyintézéssel vár minden kedves ügyfél		524.0	beépített			családi ház		
587	Gárdonyi Géza utca	nem	felújított	nem		részben bútorozott	Esztergom	47.7856977	18.7403349	kiado		nem megengedett			2001-2010 között	gázkazán	gázkazán		https://ingatlan.com/esztergom-kertvaros/kiado+haz/csaladi-haz/komarom-esztergom+megye+esztergom+gardonyi+geza+utca/25793588	udvari	hozható	azonnal	összkomfortos	nincs		12	udvari beálló	benne van az árban			nincs	120000	haz	35000	3	3	0	90	kiadás kínálok esztergom kertváros a gárdonyi géza utca egy családi ház 1 emeleti lakás az ingatlan 90m2 es 3 külön bejáratú szoba van illetve egy tágas étkező és konyha zuhanyzós fürdőszoba és külön wc a ház kert tartozik és parkolás van lehetőség az udvar az ingatlan teljesen felújított szép állapot van részben bútorozott teljesen kulcs kész március 1 től lesz onnan bérelhető bérleti díj 120 000ft hó rezsi 2 havi kaució birtokbavételkor az aktuális hónap kiegészít az otthon meleg gázfűtés biztosít a lakás határozott idő minimum 12 hónap kiadó leinformálható és környezet igényes bérlő jelentkezés vár amennyiben hirdetés felkeltet felkelt az érdeklődés kérem hív bizalom	2	450.0				családi ház		külön helyiségben
588	Gárdonyi Géza utca	nem	felújított	nem		részben bútorozott	Esztergom	47.7856977	18.7403349	kiado		nem megengedett			2001-2010 között	gázkazán	gázkazán		https://ingatlan.com/esztergom-kertvaros/kiado+haz/csaladi-haz/komarom-esztergom+megye+esztergom+gardonyi+geza+utca/25793528	udvari	hozható	azonnal	összkomfortos	nincs		12	udvari beálló	benne van az árban			nincs	100000	haz	30000	3	3	0	85	kiadás kínálok esztergom kertváros a gárdonyi géza utca egy családi ház földszinti lakás az ingatlan 85m2 es 2 egymás nyíló nagy méretű szoba van illetve egy amerikai konyhás nappali zuhanyzós fürdőszoba és wc a ház kert tartozik és parkolás van lehetőség az udvar az ingatlan teljesen felújított szép állapot van részben bútorozott teljesen kulcs kész március 1 től lesz onnan bérelhető bérleti díj 100 000ft hó rezsi 2 havi kaució birtokbavételkor az aktuális hónap kiegészít a lakás határozott idő minimum 12 hónap kiadó az otthon meleg gázkazán biztosít leinformálható és környezet igényes bérlő jelentkezés vár amennyiben hirdetés felkeltet felkelt az érdeklődés kérem hív bizalom	földszintes	450.0				családi ház		egy helyiségben
589	12. kerület, Orbánhegy		felújított	nem			Budapest	47.4983815	19.0404707	kiado	12. kerület					gáz (cirko)	gáz (cirko)		https://ingatlan.com/xii-ker/kiado+haz/csaladi-haz/budapest+12+kerulet/25791674	panorámás		azonnal	luxus	van			önálló garázs					700000	haz	0	5	5	0	330	xii kerület orbánhegyen igényesen felújított családi ház kiadó szép panoráma a gellért hegy három szintes összesen 330 nm es családi ház kiadó 4 hálószoba kertkapcsolatos nappali 2 fürdőszoba felszerelt konyha gőzkabinnal gondozott ősfás kert tároló légkondicionáló és terasz	3	900.0				családi ház		külön és egyben is
590	Pajtakert	nem	újszerű	nem		igen	Veszprém	47.0916334	17.9116007	kiado		nem megengedett			2001-2010 között	gázkazán, cserépkályha	gázkazán	cserépkályha	https://ingatlan.com/veszprem-pajtakert/kiado+haz/sorhaz/veszprem+megye+veszprem/25791266	panorámás	nem hozható	azonnal	összkomfortos	nincs			önálló garázs	benne van az árban			nincs	300000	haz	0	4	4	0	150	veszprém történelmi városrész közel a belváros 2006 ban tégla épült panorámás környezet igényes sorház kiadó az ingatlan 2 szint helyezkedik el 150 m2 1 nappali étkező gépesített konyha 3 szoba 2 fürdőszoba garázs 15 m2 es terasz kertkapcsolattal található benne fűtés kombi gázkazánról és kandallós cserépkályháról megoldott az ingatlan nagyrészt bútorozott a hálószoba beépített gardrób szekrény az igényes konyha kombinált hűtőgép mosogatógép villanytűzhely szagelszívó került kialakítás a lakás riasztó felszerelt kiváló állapotú tulajdonos hosszú táv szeret kiad igényes bérlő szerződéskötés a tulajdonos két havi kaució és egy havi bérleti díj vár el bérleti díj 300 000 ft rezsi hó n3481	2	15.0	beépített			sorház		külön és egyben is
591	20. kerület, Közműhelytelep utca			nem	66,119,151,166,66b		Budapest	47.4983815	19.0404707	kiado	20. kerület		948						https://ingatlan.com/xx-ker/kiado+haz/csaladi-haz/budapest+20+kerulet+kozmuhelytelep+utca/25790792							nincs						350000	haz	0	5	5	0	180	ház jó elrendezésű 4hálószoba nappali étkező konyha 2 fürdő 3 wc wellness helység szauna jakuzzi zuhanykabin valamint kiszolgálóhelység mosókonyha garázs pince környék ha szeret sportol szeret az egészséges életmód és a természet közelség és egy csöndes hely szeret lakik közel a belváros az megtalál ami keres gyakorlatilag lassan nem létezik létez olyan sport ami 2perc séta ne űzhetnél teniszpálya uszoda jégcsarnok focipálya fitness terem evezősklub 100 méteres sugarú kör belül ugyanilyen távolság épül az ország egyik nagy fürdőkomplexuma ő_mellett 3 csillagos szálloda és étterem és még mindig a kör belül óvoda élelmiszerbolt zöldséges stb egyszóval szinte minden igény kielégítő környezet		500.0				családi ház		
592	Vámospércsi út	nem	jó állapotú	nem		igen	Debrecen	47.531399	21.6259782	kiado					2001-2010 között	gáz (cirko)	gáz (cirko)		https://ingatlan.com/debrecen/kiado+haz/csaladi-haz/hajdu-bihar+megye+debrecen+vamospercsi+ut/25787480	utcai	nem hozható	azonnal	összkomfortos	nincs		12	önálló garázs	benne van az árban			nincs	130000	haz	20000	2 + 1 fél	2	1	80	debrecen a szabadságtelepen szigetelt téglaépítésű újszerű családi ház kiadó az ingatlan földszintes 80nm es nappali 2 szobás egyedi gázcirkó fűtéses jó állapotú kisállat tartás kizárt a ház azonnal költözhető hosszú táv kiadó 1 autó számára parkolás a 300nm es telek található garázs lehetséges bérleti díj 130 000 ft hó rezsi 2 havi kaució szükséges tel	földszintes	300.0	nem beépíthető			családi ház		egy helyiségben
593	Bocskai István út	nem	jó állapotú	nem		igen	Debrecen	47.531399	21.6259782	kiado					1981-2000 között	gáz (cirko)	gáz (cirko)		https://ingatlan.com/debrecen-jozsa/kiado+haz/csaladi-haz/hajdu-bihar+megye+debrecen+bocskai+istvan+ut/25786886	utcai	nem hozható	azonnal	összkomfortos	nincs		12	önálló garázs	benne van az árban			nincs	100000	haz	20000	2 + 1 fél	2	1	85	debrecen alsójózsán kétszintes 85nm es nappali 2 szobás külön wc s családi ház garázshasználattal 700nm es telek kiadó azonnal költözhető bérleti díj 100 000 ft hó rezsi 2 havi kaució szükséges tel	2	700.0	beépített			családi ház		egy helyiségben
594	3. kerület, Testvérhegy	nem	újszerű	nem		igen	Budapest	47.4983815	19.0404707	kiado	3. kerület					egyéb	egyéb		https://ingatlan.com/iii-ker/kiado+haz/csaladi-haz/budapest+3+kerulet/25785020	kertre néző	nem hozható		összkomfortos				önálló garázs	benne van az árban			nincs	1246400	haz	0	5	5	0	325	testvérhegy belső rész 5 perc a british school tól 1080 nm es telek álló újszerű 5 szobás tripla komfortos exkluzív családi ház kiadó az ingatlan elosztás földszint nappali konyha étkező fürdő wc közlekedő vendégszoba terasz emelet 3 hálószoba 2 fürdőszoba wc gardrób erkély alsó szint 2 3 állásos garázs mosó szárító helyiség gépészet hobby szoba a ház nagy üvegfelületeinek és tájolás köszönhetően egész nap világos napos bútorozatlanul de teljes műszaki berendezettség mellett lehet beköltözik extra hőszivattyús fal hűtés fűtés motoros fém redőny több zónás riasztórendszer központi szennyes ledobó bérel minimum 12 hónap 1 havi bérleti díj 2 havi kaució mellett lehet azonnal birtok vehető	3	1080.0	nem beépíthető			családi ház		
595	3. kerület, Testvérhegy	nem	újszerű	nem		igen	Budapest	47.4983815	19.0404707	kiado	3. kerület					egyéb	egyéb		https://ingatlan.com/iii-ker/kiado+haz/csaladi-haz/budapest+3+kerulet/25784906	kertre néző	nem hozható		összkomfortos				önálló garázs	benne van az árban			nincs	1246400	haz	0	5	5	0	325	testvérhegy belső rész 5 perc a british school tól 1080 nm es telek álló újszerű 5 szobás tripla komfortos exkluzív családi ház kiadó az ingatlan elosztás földszint nappali konyha étkező fürdő wc közlekedő vendégszoba terasz emelet 3 hálószoba 2 fürdőszoba wc gardrób erkély alsó szint 2 3 állásos garázs mosó szárító helyiség gépészet hobby szoba a ház nagy üvegfelületeinek és tájolás köszönhetően egész nap világos napos bútorozatlanul de teljes műszaki berendezettség mellett lehet beköltözik extra hőszivattyús fal hűtés fűtés motoros fém redőny több zónás riasztórendszer központi szennyes ledobó bérel minimum 12 hónap 1 havi bérleti díj 2 havi kaució mellett lehet azonnal birtok vehető	3	1080.0	nem beépíthető			családi ház		
596	3. kerület, Ráby Mátyás utca		jó állapotú	nem	134,143,160,186,243	megegyezés szerint	Budapest	47.4983815	19.0404707	kiado	3. kerület	nem megengedett	943,960		1950 előtt	gáz (konvektor)	gáz (konvektor)		https://ingatlan.com/iii-ker/kiado+haz/csaladi-haz/budapest+3+kerulet+raby+matyas+utca/25781762	kertre néző	nem hozható	azonnal	összkomfortos	nincs		nincs	udvari beálló	benne van az árban			nincs	185000	haz	20000	2 + 1 fél	2	1	83	március 1 től hosszú táv kiadó a dinamikusan fejlődő csillaghegy csendes rész a ráby mátyás utca 2 fél szobás ház jogilag társasház de elkölönült házrész saját kert is van a szoba 9 13 és 25 négyzetméteres nagy konyha nappali 2 hálószoba előszoba parkettás egyedi gázfűtés konvektor kert néző ablak a nap reggel délután besüt a ház a kert autó beállási lehetőség van köz iskola óvoda étterem egészségügyi intézmény a közelben hév és buszmegálló 5 perc séta található az ingatlan azonnal költözhető kisállat nem hozható dohányzás nem megengedett ingatlanközvetítő kérem ne keres	földszintes	400.0				családi ház		egy helyiségben
597	Mecsekoldal		jó állapotú	nem		igen	Pécs	46.0762962	18.228147	kiado						egyéb	egyéb		https://ingatlan.com/pecs-mecsekoldal/kiado+haz/csaladi-haz/baranya+megye+pecs/25779842	panorámás	hozható	azonnal				12	önálló garázs	benne van az árban			van	150000	haz	0	2	2	0	80	kiadó pécs mecsekoldalon a szőlő utca 80 nm es 2 szobás panorámás családi ház az ingatlan teljesen berendezett garázs és saját udvar rendelkezik belső elrendezés amerikai konyhás nappali hálószoba fürdőszoba wc erkély a biztonság kamerarendszer gondoskodik az állattartás megbeszélhető bérleti díj 150 000 ft a rezsi fogyasztás alap fizetendő a kaució két havi bérleti díj megfelelő összeg érdeklődik érdeklőd a nap bármely szaka lehet	földszintes	300.0				családi ház		külön helyiségben
598	2. kerület, Törökvész		jó állapotú	nem			Budapest	47.4983815	19.0404707	kiado	2. kerület					gáz (cirko)	gáz (cirko)		https://ingatlan.com/ii-ker/kiado+haz/csaladi-haz/budapest+2+kerulet/25778348													626000	haz	0	5	5	0	300	ii kerület a balogh ádám utca egy 300 m2 es három szintes frissen felújított panorámás ikerházfélkiadó helyiség amerikai konyhás nappali étkező kamra három hálószoba két fürdő 1 vendég wc tárolóhelyiségek 1 angol ablakos félszuterén nagy szoba többféle cél hasznosítható 2 autó számára megfelelő garázs 2 nagy terasz a lakás bútorozatlan a tulajdonos azonban biztosít tud ágy gyermekágy is és szekrény igény eset a ház két nagy terasz 12 m2 és 25 m2 rendelkezik a ház felújítás és a kertrendezés jelen pillanat még zajlik az ingatlan 2 hét múlva elérhető közüzemi fogyasztás egyedi mérőóra állás szerint	földszintes	900.0				családi ház		
599	Május 1. utca 37/1			nem			Pécs	46.0762962	18.228147	kiado									https://ingatlan.com/pecs/kiado+haz/csaladi-haz/baranya+megye+pecs+majus+1+utca+371/25775234							nincs						80000	haz	0	3 + 2 fél	3	2	100	újszerű családi ház kiadó csendes utca jó levegő a ház összkomfortos gázfűtéses csatornázott bútorozatlan a földszint előszoba konyha ez a helyiség is bútorozatlan csak páraelszívó van ebédlő szoba szép nagy fürdőszoba kád és zuhanyzó külön illemhelyiség a szoba beépített szekrény és nappali szoba képez a földszint itt fatüzelésű kandalló is működik az emelet két szoba nappali és illemhelyiség az udvar kicsi a ház garázs is tartozik távműködtetésű ajtó bérleti díj havonta 80 ezer forint és egyhavi kaució a rezsi alacsony az a bérlő fizet		350.0				családi ház		
600	Pest megye		felújított	nem		részben bútorozott	Pilisszentiván	47.6095461	18.8969359	kiado					2001-2010 között	gáz (cirko)	gáz (cirko)		https://ingatlan.com/pilisszentivan/kiado+haz/hazresz/pest+megye+pilisszentivan/25774040	kertre néző	hozható	azonnal	összkomfortos	nincs		12	udvari beálló	benne van az árban			nincs	80000	haz	0	1	1	0	40	1 maximum 2 fő számára kiadó pilisszentivánon nagyon csöndes kis utca hosszútáv minimum 1 év kiadó egy 40 nm es 1 szoba fürdőszoba konyhás felújított belülről szigetelt fa kisház kocsi is be lehet állni a tél a ház szépen fel van újít üresen vagy részben bútoroz kiadó hűtő mosógép mosogatógép van a burkolat a konyha és a fürdő kerámia lap a szoba fa padló padlófűtés van van egy kis mosókonyha és egy kis gardrób is a ház a terasz fedett és hangulatos viz villany gáz és csatorna is be van vezet a kisházhoz azonnal költözhető 2 havi kaució és az aktuális havi bérleti díj szükséges a beköltözés kisállat hozható 1 kutya érdeklődik érdeklőd hortobágyi tímea	földszintes	400.0				házrész		egy helyiségben
601	Dunapart	nem	újszerű	nem		igen	Szigethalom	47.3245067	19.0001884	kiado		megengedett		DD	2001-2010 között	gáz (cirko)	gáz (cirko)		https://ingatlan.com/szigethalom-dunapart/kiado+haz/csaladi-haz/pest+megye+szigethalom/25773248	panorámás	hozható	azonnal	luxus	van		12	udvari beálló	benne van az árban			nincs	350000	haz	0	4	4	0	110	szigethalom közvetlen dunaparti parkosított környezetű gyermekcentrikus luxus felszereltségű 110 nm es előszoba teraszkapcsolatos amerikai konyhás étkező nappali mosókonyha kazánház 4 szoba zuhanyzó wc vel fürdőszoba wc francia erkély újszerű családi ház 488 nm es telek saját stég teljes berendezés igényes azonnali költözés kiadó extra panorámás terasz napkollektor öntöző berendezés terasz építet épít fedett jacuzzi távfelügyelet tároló helyiség bérleti díj 350 000 ft rezsi 2 havi kaució 1 havi bérleti díj szükséges lc6603	2	488.0	beépített			családi ház		külön és egyben is
602	Jancsifalu		közepes állapotú	nem		nem	Győr	47.687609	17.6346815	kiado		nem megengedett			1950-1980 között	gáz (cirko)	gáz (cirko)		https://ingatlan.com/gyor-jancsifalu/kiado+haz/csaladi-haz/gyor-moson-sopron+megye+gyor/25768844	utcai			összkomfortos	nincs		12	udvari beálló	benne van az árban			van	150000	haz	0	3	3	0	120	győr jancsifalu városrész kiadó ez a 120 m2 es 3 szobás bútorozatlan családi ház azonnal költözhető hosszútáv kiadó munkás is minimum 1 év kettő havi kaució szükséges a ház bérleti díj 150 000 forint rezsi hó 2913		500.0				családi ház		
603	Pest megye			nem			Göd	47.6834336	19.1341568	kiado						elektromos	elektromos		https://ingatlan.com/god/kiado+haz/konnyuszerkezetes-haz/pest+megye+god/25766582			azonnal	összkomfortos									90000	haz	0	1	1	0	50	göd kiadó mobilház március közép hosszú illetve rövid táv is két havi kaució 1 havi bérleti díj szükséges megtekinthető telefonos időpont egyeztetés alap lovack tamás dunakeszi ingatlanközpont dunakeszi és környék nagy ingatlanválasztéka dunakeszi fót göd sződliget eladó kiadó családi ház telek lakás ingyenes hitelügyintézés		30.0				könnyűszerkezetes ház		
604	Berek utca	nem	közepes állapotú	nem		igen	Szentendre	47.6677606	19.0760467	kiado		nem megengedett				gáz (konvektor), elektromos	gáz (konvektor)	elektromos	https://ingatlan.com/szentendre/kiado+haz/csaladi-haz/pest+megye+szentendre+berek+utca/25764044	kertre néző	nem hozható	azonnal	komfortos			12	udvari beálló				nincs	110000	haz	30000	1 + 2 fél	1	2	48	a ház 45 négyzetméteres 3 külön nyíló kisszobával rendelkezik a három kisszobában 1 1 gázkonvektor a wc vel közös fürdő 1 db új elektromos fali fűtőkészülék található a két kisszoba laminált parkettás a nagy szoba parkettás a többi helyiség kövezett az ingatlan 2017 ben szigetelt új bejárati ajtó és a fürdő új ablak lett beépít a lakás frissen festett és bútorozott az ingatlan egy zsákutca található emiatt autó parkolás kizárólag az ingatlan belül lehetséges nagy méretű autó nem tud beáll az ingatlan kert gondozott az ingatlan vízelvezetés jelenleg emésztőgödör történik de ez év tavasz tervez az utca már kiépített csatorna való rákötés mely néhány napos munkavégzés fog jár a kert internet rákötési lehetőség adott t home az ingatlan szentendre leányfaluhoz közelebbi rész a hegyoldal helyezkedik el a 11 es főút az ingatlan kb 500 m szentendre központ kb 3 5 km re leányfalu strand kb 4 5 km re található a főút másik oldal néhány perces séta elérhető a duna part az ingatlan megközelíthető budapest távolsági autóbusz vagy hév busz illetve személyautó a szomszédos ingatlan állandó lakó illetve nyaraló lak az utca aszfaltozott zsákutca itt biztosít kell a beljebb lakó közlekedés be kell állni az autó a kert csendes nyugodt környék milyen lakó keres olyan bérlő szeretnék 2 3 fő aki szeret kertészkedik a kert is gondoz kell eszköz adott megbízható és felelősség teljes rendelkezik állandó bevétel munkahely nem zavar feleslegesen a szomszéd betart a társadalmi együttélés szabály pontosan fizet a költség minimum 1 év szeret itt lakik szerződéskötés vállalj a közjegyzői kiköltözési nyilatkozat aláírás a bérleti szerződés első havi bérleti díj 2 havi kaució szükséges kérés fotó mellékel e mailben	földszintes	422.0	nem beépíthető			családi ház		egy helyiségben
605	Szabadságtelep	nem	felújított	nem		megegyezés szerint	Debrecen	47.531399	21.6259782	kiado						gáz (cirko)	gáz (cirko)		https://ingatlan.com/debrecen-szabadsagtelep/kiado+haz/csaladi-haz/hajdu-bihar+megye+debrecen/25761068	kertre néző	nem hozható	azonnal	összkomfortos	van			önálló garázs	benne van az árban			nincs	130000	haz	0	3	3	0	80	kiadó debrecen a szabadságtelepen egy családi ház a földszinti kitűnő állapotú egyedi kialakítású teljesen felújított szigetelt tégla építésű teraszos 80 m2 es ház fa belső és műanyag redőnyözött külső nyílászárós ezenkívül klímás és gázcirkó radiátor fűtésű a térkövezett és parkosított 300 m2 es udvar amely garázs is található van a teljesen bebútorozott lakóingatlan amely nappali 2 szoba konyha étkező és fürdőszoba wc helyiség áll	földszintes	300.0	nem beépíthető			családi ház		
606	Belváros	nem	újszerű	nem		igen	Nyíregyháza	47.9557802	21.7167982	kiado		nem megengedett				gáz (cirko)	gáz (cirko)		https://ingatlan.com/nyiregyhaza-belvaros/kiado+haz/ikerhaz/szabolcs-szatmar-bereg+megye+nyiregyhaza/25758242	panorámás	nem hozható	azonnal	duplakomfortos	van		12						200000	haz	0	5	5	0	160	nyíregyháza abszolút belváros kiadó egy 5 hálószobás nappali étkezős 2 fürdőszobás gardróbos padló radiátor fűtésű galériás egyedi belső kialakítású családi ikerház garázs terasz az alagsor szauna valamint a szabadidő eltöltés alkalmas helyiség		350.0				ikerház		külön helyiségben
607	Pest megye	igen	újszerű	nem		részben bútorozott	Pilisszántó	47.6696829	18.8865506	kiado		nem megengedett			2017	gáz (cirko)	gáz (cirko)		https://ingatlan.com/pilisszanto/kiado+haz/csaladi-haz/pest+megye+pilisszanto/25757360	kertre néző		azonnal	összkomfortos			12					nincs	180000	haz	50000	2 + 1 fél	2	1	85	pilisszántón minőségi ingatlan hosszú táv igényes bérlő kiadó hexi ingatlan és hiteliroda 2085 pilisvörösvár szabadság utca 14 szőnyi szilvia	földszintes	500.0				családi ház		egy helyiségben
608	14. kerület, Stefánia út		jó állapotú	nem			Budapest	47.4983815	19.0404707	kiado	14. kerület		901,918,937		1950-1980 között	házközponti	házközponti		https://ingatlan.com/xiv-ker/kiado+haz/csaladi-haz/budapest+14+kerulet+stefania+ut/25757192					van		24	udvari beálló				van	2200000	haz	0	35	35	0	980	xiv stefánia út a földtani intézet magasság nagykövetség szomszédság önálló 980 nm es villaépület egyben vagy 390 nm es szintenként belső parkoló hosszútáv kiadó kiválóan alkalmas iroda cégközpontnak oktatás sport valamint egészségügyi központ is az ingatlan szintenként szeparált belső lift nélküli lépcsőházas igényes a bérlő igény szerint felújít minimum 2 éves szerződés este este világos csendes kiépített számítógép hálózat telefon és beléptető rendszer szintenként 10 autó parkolás az udvar az ár megegyezés kérdés sorompó lezárt zárt kártyás beléptető kamerarendszer kiadó terület az egész 980 nm villaépület 3 szint egyben is bérelhető bérleti díj 7000 euró hó rezsi vagy szintenként megoszt félemelet 389 nm jelenleg 2 x 70 nm es nagy terem és 8 kis helyiség áll közlekedő mosdó konyha recepció 2 terasz az iroda 2 külön bejáratú költözés 2018 május bérleti díj 7 5 euró nm hó üzemeltetési díj 1 euró nm hó áfa egyedileg mért rezsi kb 900 000 ft hó i emelet 382 nm 8 szoba mosdó konyha recepció költözés 2018 szeptember bérleti díj 7 5 euró nm hó üzemeltetési díj 1 euró nm hó áfa egyedileg mért rezsi kb 900 000 ft hó tetőtér belső lépcsőház önállóan megközelíthető 210 nm 6 szoba mosdó konyha recepció költözés 2018 szeptember bérleti díj 6 euró nm hó üzemeltetési díj 1 euró nm hó áfa egyedileg mért rezsi kb 400 000 ft hó a bérleti díj meghatározás függ a bérlemény műszaki felszereltség a szükséges átalakítás mérték és a bérlet időtartam minimum 2 év 2 havi kaució fejében a megadott időpont költözhető	3	900.0	beépített		75,77	családi ház	1	külön helyiségben
609	23. kerület, Grassalkovich út 223.		jó állapotú	nem	66,135,66b,66e,h6	nem	Budapest	47.4983815	19.0404707	kiado	23. kerület		966		2001-2010 között	gáz (cirko), cserépkályha	gáz (cirko)	cserépkályha	https://ingatlan.com/xxiii-ker/kiado+haz/csaladi-haz/budapest+23+kerulet+grassalkovich+ut+223/25750394			2018 május	összkomfortos	van		nincs	önálló garázs	benne van az árban				360000	haz	0	3	3	0	210	cég vállalkozó figyelem xxiii grassalkovich út 223 szám alatti családi házas ingatlan hosszú táv bérbeadó az eredetileg 3 szobás összkomfortos ház vállalkozás van kiad 2018 április 30 ig ez megfelelően lett kialakít a 160m2 es ház részben iroda részben termelési terület üzemel az 50 m2 területű garázs ill egy a bérlő által épített 60m2 területű könnyűszerkezetes épület együtt az ingatlan összközműves és 3x42 amper elektromos hálózat van kiépít belső parkoló több gépkocsi rész alkalmas és közepes méretű teherautó behajtás is lehetséges az ingatlan alkalmas cég vállalkozás iroda üzlet bemutató terem csendes gyártói termelési feladat ellátásár is alkalmazkodik az elvárás az igény és lehetőség megfelelően frekventált hely főútvonal de mégis egy szervizút könnyen megközelíthető tömegközlekedés is az ingatlan bérleti díj 360 000 ft adó rezsi mely 2 havi kaució 1 havi bérleti díj ellenében 2018 május 1 e után költözhető	földszintes	1070.0				családi ház		külön helyiségben
610	Vas megye		közepes állapotú	nem		nem	Táplánszentkereszt	47.198556	16.696725	kiado						gáz (cirko)	gáz (cirko)		https://ingatlan.com/taplanszentkereszt/kiado+haz/csaladi-haz/vas+megye+taplanszentkereszt/25748876		hozható	azonnal	összkomfortos			12	önálló garázs					120000	haz	0	2 + 2 fél	2	2	100	táplánszentkereszt település kiadó egy 4 szobás bútorozatlan családi ház nagy telek az ingatlan több beállásos garázs is tartozik ami akár műhely vagy tárolás is lehet használ fűtés gáz központi radiátoros hőleadókkal kaució 2 havi szükséges	földszintes	900.0				családi ház		külön helyiségben
611	14. kerület, Alsórákos		közepes állapotú	nem			Budapest	47.4983815	19.0404707	kiado	14. kerület					gáz (cirko)	gáz (cirko)		https://ingatlan.com/xiv-ker/kiado+haz/csaladi-haz/budapest+14+kerulet/25744358													450000	haz	0	6	6	0	300	kiadó családi ház zugló kertvárosi rész a csömöri út kis mellékutcai rész az ingatlan különleges építészeti megoldás készült boltív galéria pult a kert medence gyerekhinta kő kerti bútor a ház elektronikus kapu ellátott garázs mely kettő gépkocsi számára biztosít beállási lehetőség plusz egy gépkocsi rész fedett udvari beálló lehetőség a kényelem egy l alak elhelyezett terasz biztosít a ház alsó szint kiválóan alkalmas lakás iroda cégképviselet rész november 15 től egy havi bérleti díj és kettő havi kaució eset bérelhető érdeklődés eset vár hívás referencia szám m77821	2	850.0				családi ház		
612	Belváros		újszerű	nem			Pécs	46.0762962	18.228147	kiado						gáz (konvektor)	gáz (konvektor)		https://ingatlan.com/pecs-belvaros/kiado+haz/csaladi-haz/baranya+megye+pecs/25743674				duplakomfortos			12						185000	haz	45000	4	4	0	140	szeret egy pécs belvárosi csendes nyugalmas utca lakik mégis mintha az erdő szél lesz az otthon napfényes tágas tér gépesített egyedi konyha nappali egy légtér vörösfenyő nyílászáró klíma padlófűtés fa készült terasz barátságos mediterrán udvar hatalmas fenyőfa madárcsicsergés vadgesztenyeerdő a szomszéd kamerás kaputelefon elektromos kapunyitós garázs a földszint teljesen önálló bejáratú 50 m2 es lakás a házigazda számára az emelet 150 m2 es lakás 4 5 fős család kényelmes otthon lehet előszoba nappali amerikai étkező konyha fürdőszoba infraszauna hálószoba mosókamra tetőtér két önálló lakrész külön külön fürdő kert 300 m2 parkosít pergolával tűzrakó hely különálló kis szerszámos ház a ház 2008 ban teljes felújítás esett át szobánként állítható gáz cirkó fűtés 3 fürdőszoba klimatizált bérleti díj 185 000 ft hó 45 000 ft rezsi hó a tv t internetet a upc szolgáltat az a lakó fizet ha kell meghosszabbít parkolás a ház előtt bérlet kell vásárol a biokomtól vagy az utca van kiadó garázs az tetőtéri szoba felújít kifest fehér a csatolt kép csak a méret hivatott jelez nem olyan tiritarka mint a lány idő volt	2	300.0				családi ház		
